iccs,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2022,0.79
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2008,0.54
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2009,0.74
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2010,0.81
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2011,0.78
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2012,0.84
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2013,0.81
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2014,1.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2015,1.03
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2016,1.09
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2017,1.15
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2018,1.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2019,1.39
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2020,1.41
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2021,1.35
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Switzerland,2022,1.2
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Cyprus,2009,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Cyprus,2010,0.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Cyprus,2011,0.23
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Cyprus,2012,0.23
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Cyprus,2013,0.45
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Cyprus,2022,0.43
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2011,1.8
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2012,1.66
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2013,1.79
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2014,2.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2015,2.01
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2016,2.22
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2017,2.12
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2018,2.21
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2019,2.02
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2020,2.12
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2021,2.01
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Czechia,2022,2.23
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2013,0.61
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2014,0.56
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2015,0.55
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2016,0.51
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2017,0.49
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2018,0.51
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2019,0.51
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2020,0.53
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2021,0.51
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Germany,2022,0.51
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2008,0.51
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2009,0.5
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2010,0.54
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2011,0.64
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2012,0.57
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2013,0.5
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2014,0.46
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2015,0.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2016,0.31
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2017,0.42
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2018,0.31
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2019,0.41
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2020,0.38
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2021,0.27
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Denmark,2022,0.47
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2010,4.49
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2011,3.52
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2013,3.98
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2015,3.28
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2016,3.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2017,2.58
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2018,2.15
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2019,2.29
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2020,1.86
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2021,1.86
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Estonia,2022,2.15
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2008,0.78
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2009,0.73
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2010,0.37
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2011,0.78
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2012,0.81
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2013,0.92
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2014,1.06
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2015,0.88
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2016,1.21
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2017,1.03
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2018,0.89
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2019,0.98
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2020,1.07
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2021,1.08
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Greece,2022,1.12
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2008,0.65
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2009,0.74
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2010,0.83
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2011,0.79
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2012,0.99
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2013,1.08
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2014,1.1
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2015,1.18
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2016,1.27
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2017,1.34
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2018,0.26
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2019,1.21
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2020,1.19
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2021,1.31
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Spain,2022,1.35
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2008,2.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2009,1.92
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2010,2.13
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2011,2.05
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2012,2.18
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2013,2.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2014,1.91
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2015,2.16
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2016,1.94
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2017,1.83
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2018,1.61
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2019,1.61
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2020,1.39
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2021,1.54
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Finland,2022,1.39
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2008,0.74
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2009,0.72
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2010,0.74
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2011,0.75
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2012,0.75
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2013,0.97
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2014,0.91
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2015,0.61
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2016,0.97
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2017,1.36
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2018,1.41
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2019,1.47
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2020,1.1
Intentional homicide,Annual,F,Per hundred thousand inhabitants,France,2021,1.07
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2008,0.67
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2009,1.07
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2010,0.72
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2012,0.59
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2013,0.77
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2014,0.68
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2015,0.73
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2018,0.85
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2019,0.95
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2020,0.81
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2021,1.01
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Croatia,2022,1.05
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2013,2.68
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2014,3.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2015,2.64
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2017,3.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2018,0.72
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2019,1.82
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2020,2.61
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2021,3.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Hungary,2022,2.62
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Ireland,2013,0.78
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Iceland,2013,0.62
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Iceland,2017,0.6
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Iceland,2018,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2008,0.46
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2009,0.49
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2010,0.55
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2011,0.53
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2012,0.49
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2013,0.93
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2014,0.92
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2015,0.81
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2016,0.86
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2017,0.92
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2018,0.92
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2019,0.91
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2020,0.92
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2021,0.91
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Italy,2022,0.93
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Liechtenstein,2013,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Liechtenstein,2014,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Liechtenstein,2015,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Liechtenstein,2016,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2008,4.75
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2009,4.62
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2010,4.85
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2011,5.47
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2012,5.12
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2013,6.05
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2014,6.3
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2015,5.78
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2016,5.71
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2017,5.8
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2018,5.89
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2019,4.94
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2020,4.77
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2021,3.78
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Lithuania,2022,3.07
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Luxembourg,2011,1.56
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Luxembourg,2012,1.52
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Luxembourg,2013,1.86
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Luxembourg,2014,1.46
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Luxembourg,2015,1.78
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Luxembourg,2016,0.35
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Luxembourg,2017,1.7
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2013,4.1
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2014,4.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2015,4.56
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2016,4.41
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2017,3.98
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2018,3.64
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2019,3.77
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2020,3.21
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2021,3.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Latvia,2022,3.38
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2008,0.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2009,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2010,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2011,0.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2012,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2013,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2014,0.64
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2015,0.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2016,0.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2017,0.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2018,0.32
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2019,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2020,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2021,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Montenegro,2022,0.96
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2013,0.47
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2014,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2015,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2016,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2017,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2018,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2019,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2020,0.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2021,0.4
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Malta,2022,0.4
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2008,0.38
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2009,0.46
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2010,0.45
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2011,0.49
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2012,0.36
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2013,0.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2014,0.35
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2015,0.43
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2016,0.46
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2017,0.54
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2018,0.65
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2019,0.61
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2020,0.64
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2021,0.64
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Norway,2022,0.56
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Poland,2016,1.86
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Poland,2017,1.91
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Poland,2018,1.89
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Poland,2019,1.82
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Poland,2020,1.8
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Poland,2021,1.9
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Poland,2022,1.89
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2008,0.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2009,24.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2010,0.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2011,0.27
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2012,0.25
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2013,0.22
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2014,0.27
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2015,0.28
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2016,0.29
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2017,0.31
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2018,0.31
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2019,0.28
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2020,0.2
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2021,0.29
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Portugal,2022,0.24
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2008,2.51
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2009,2.42
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2010,2.35
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2011,2.37
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2012,2.3
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2013,2.39
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2014,2.44
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2015,2.5
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2016,2.43
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2017,2.04
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2018,1.82
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2019,1.73
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2020,1.89
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2021,2.25
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Romania,2022,1.88
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2013,1.36
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2014,1.42
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2015,1.37
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2016,1.27
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2017,1.16
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2018,1.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2019,1.34
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2020,1.41
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2021,0.65
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Serbia,2022,1.26
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2008,0.61
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2009,0.62
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2010,0.53
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2011,0.59
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2012,0.55
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2013,0.61
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2014,0.52
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2015,0.57
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2016,0.63
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2017,0.66
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2018,0.75
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Sweden,2019,0.81
