iccs,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2017,0.7
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2018,0.83
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2019,0.84
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2020,0.61
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2021,0.66
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2022,0.72
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bosnia and Herzegovina,2008,1.72
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bosnia and Herzegovina,2009,1.74
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bosnia and Herzegovina,2010,1.4
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bosnia and Herzegovina,2011,1.27
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bosnia and Herzegovina,2012,1.56
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2008,1.91
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2009,1.76
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2010,1.74
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2011,1.95
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2012,1.86
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2013,1.83
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2014,1.88
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2015,2.06
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2016,1.55
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2017,1.74
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2018,1.68
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2019,1.28
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2020,1.3
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2021,1.33
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Belgium,2022,1.54
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2008,2.29
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2009,2.01
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2010,1.99
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2011,1.74
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2012,1.92
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2013,1.5
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2014,1.55
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2015,1.75
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2016,1.1
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2017,1.34
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2018,1.3
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2019,1.16
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2020,0.96
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2021,1.29
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Bulgaria,2022,1.11
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2008,0.71
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2009,0.66
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2010,0.68
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2011,0.58
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2012,0.57
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2013,0.71
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2014,0.5
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2015,0.69
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2016,0.54
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2017,0.53
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2018,0.59
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2019,0.54
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2020,0.55
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2021,0.48
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Switzerland,2022,0.48
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2008,1.16
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2009,2.38
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2010,0.85
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2011,0.95
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2012,2.2
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2013,1.27
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2014,1.17
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2015,1.42
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2016,1.3
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2017,0.82
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2018,1.62
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2019,1.48
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2020,1.69
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2021,1.56
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Cyprus,2022,0.77
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2008,1.09
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2009,1.01
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2010,1.0
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2011,0.79
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2012,0.9
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2013,0.86
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2014,0.77
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2015,0.84
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2016,0.62
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2017,0.38
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2018,0.52
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2019,0.76
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2020,0.53
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2021,0.43
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Czechia,2022,0.75
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2008,0.8
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2009,0.88
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2010,0.85
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2011,0.86
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2012,0.77
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2013,0.77
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2014,0.8
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2015,0.81
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2016,0.91
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2017,0.89
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2018,0.76
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2019,0.71
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2020,0.86
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2021,0.76
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Germany,2022,0.74
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2008,0.96
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2009,1.01
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2010,0.89
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2011,0.88
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2012,0.77
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2013,0.73
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2014,1.1
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2015,0.92
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2016,0.93
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2017,1.06
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2018,0.93
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2019,0.93
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2020,0.88
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2021,0.72
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Denmark,2022,1.0
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2008,6.28
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2009,5.24
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2010,5.25
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2011,4.89
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2012,4.75
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2013,3.94
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2014,3.12
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2015,3.8
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2016,2.51
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2017,2.2
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2018,1.9
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2019,1.74
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2020,2.78
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2021,1.43
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Estonia,2022,1.35
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2008,1.29
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2009,1.36
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2010,1.58
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2011,1.65
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2012,1.49
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2013,1.28
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2014,0.96
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2015,0.79
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2016,0.75
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2017,0.72
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2018,0.88
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2019,0.71
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2020,0.68
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2021,0.83
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Greece,2022,0.76
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2008,0.89
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2009,0.89
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2010,0.86
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2011,0.82
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2012,0.78
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2013,0.65
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2014,0.69
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2015,0.65
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2016,0.63
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2017,0.66
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2018,0.62
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2019,0.71
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2020,0.63
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2021,0.61
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Spain,2022,0.69
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2008,3.02
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2009,2.59
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2010,2.49
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2011,2.49
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2012,1.98
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2013,1.97
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2014,2.05
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2015,2.12
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2016,1.75
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2017,1.34
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2018,1.72
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2019,1.5
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2020,1.72
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2021,1.7
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Finland,2022,1.5
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2008,1.52
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2009,1.25
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2010,1.23
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2011,1.35
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2012,1.25
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2013,1.22
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2014,1.16
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2015,1.32
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2016,1.17
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2017,1.06
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2018,1.04
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2019,1.12
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2020,1.03
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2021,1.08
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,France,2022,1.21
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2008,1.65
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2009,1.14
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2010,1.44
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2011,1.14
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2012,1.19
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2013,1.08
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2014,0.85
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2015,0.88
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2016,1.05
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2017,1.11
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2018,0.58
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2019,0.81
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2020,0.99
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2021,0.82
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Croatia,2022,0.8
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2008,1.46
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2009,1.39
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2010,1.33
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2011,1.42
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2012,1.14
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2013,1.39
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2014,1.31
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2015,2.05
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2016,0.93
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2017,0.87
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2018,0.85
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2019,0.59
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2020,0.79
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2021,0.69
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Hungary,2022,0.88
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2008,1.14
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2009,1.17
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2010,1.21
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2011,0.92
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2012,1.13
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2013,1.11
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2014,1.15
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2015,0.64
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2016,0.72
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2017,0.82
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2018,0.81
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2019,0.65
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2020,0.64
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2021,0.46
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Ireland,2022,0.87
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2008,0.0
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2009,0.31
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2010,0.63
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2011,0.94
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2012,0.31
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2013,0.31
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2014,0.61
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2015,0.91
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2016,0.3
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2017,0.89
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2018,0.57
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2019,0.28
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2020,0.82
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2021,0.54
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Iceland,2022,1.06
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Italy,2008,1.05
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Italy,2009,1.0
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Italy,2010,0.89
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Italy,2011,0.93
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Italy,2012,0.89
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Italy,2013,0.85
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Italy,2014,0.8
