STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,leg_stat,Legal status,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2016,,2523,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2017,,2138,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2018,,2022,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2019,,1893,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2020,,2005,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2021,,2014,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2022,,2074,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2023,,1870,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2008,,16435,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2009,,16747,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2010,,17785,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2011,,16383,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2012,,17662,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2013,,17187,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2014,,16979,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2015,,18497,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2016,,18613,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2017,,18084,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2018,,18667,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2019,,17081,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2020,,17081,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2021,,17525,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2022,,18911,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CH,Switzerland,2023,,18777,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2008,,11202,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2009,,10704,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2010,,12587,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2011,,16516,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2012,,13246,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2013,,11840,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2014,,13757,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2015,,10824,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2016,,8636,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2017,,8725,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2018,,9571,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2019,,8290,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2020,,7662,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2021,,7848,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CY,Cyprus,2022,,8403,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2008,,9502,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2009,,9415,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2010,,9186,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2011,,9202,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2012,,9425,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2013,,10957,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2014,,9008,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2015,,9882,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2016,,10121,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2017,,9500,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2018,,9284,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2019,,9619,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2020,,8083,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2021,,7887,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2022,,8169,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,CZ,Czechia,2023,,8452,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2008,,158618,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2009,,155970,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2010,,153247,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2011,,154543,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2012,,148325,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2013,,146411,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2014,,147003,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2015,,146233,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2016,,142921,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2017,,136330,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2018,,133917,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2019,,136438,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2020,,129169,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2021,,119409,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2022,,118551,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DE,Germany,2023,,120735,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2008,,31618,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2009,,33946,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2010,,36590,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2011,,38255,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2012,,38439,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2013,,40415,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2014,,41134,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2015,,40744,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2016,,39585,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2017,,36546,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2018,,35982,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2019,,9281,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2020,,10352,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2021,,9593,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2022,,10080,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,DK,Denmark,2023,,11475,,,,,
