STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,International classification of crime for statistical purposes (ICCS),sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2014,,37,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2015,,37,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2016,,6,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2017,,39,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2018,,30,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2019,,31,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2020,,33,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2021,,37,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2022,,38,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2013,,20,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2014,,21,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2015,,20,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2016,,10,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2018,,10,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2019,,25,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2020,,24,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2021,,22,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BA,Bosnia and Herzegovina,2022,,22,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BE,Belgium,2008,,51,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BE,Belgium,2009,,40,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BE,Belgium,2010,,45,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BE,Belgium,2011,,49,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BE,Belgium,2012,,63,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2008,,52,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2009,,53,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2010,,54,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2011,,43,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2012,,37,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2013,,34,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2014,,36,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2015,,37,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2016,,37,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2017,,34,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2018,,39,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2019,,36,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2020,,33,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2021,,32,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,BG,Bulgaria,2022,,28,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2008,,21,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2009,,29,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2010,,32,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2011,,31,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2012,,34,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2013,,33,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2014,,41,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2015,,43,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2016,,46,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2017,,49,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2018,,53,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2019,,60,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2020,,61,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2021,,59,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CH,Switzerland,2022,,53,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CY,Cyprus,2009,,0,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CY,Cyprus,2010,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CY,Cyprus,2011,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CY,Cyprus,2012,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CY,Cyprus,2013,,2,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CY,Cyprus,2022,,2,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2011,,96,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2012,,89,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2013,,96,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2014,,107,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2015,,108,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2016,,119,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2017,,114,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2018,,119,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2019,,109,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2020,,115,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2021,,109,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,CZ,Czechia,2022,,119,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2013,,249,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2014,,229,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2015,,229,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2016,,211,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2017,,204,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2018,,212,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2019,,215,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2020,,222,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2021,,213,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DE,Germany,2022,,215,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2008,,14,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2009,,14,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2010,,15,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2011,,18,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2012,,16,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2013,,14,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2014,,13,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2015,,9,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2016,,9,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2017,,12,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2018,,9,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2019,,12,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2020,,11,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2021,,8,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,DK,Denmark,2022,,14,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2010,,32,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2011,,25,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2013,,28,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2015,,23,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2016,,21,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2017,,18,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2018,,15,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2019,,16,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2020,,13,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2021,,13,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EE,Estonia,2022,,15,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2008,,44,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2009,,41,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2010,,21,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2011,,44,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2012,,46,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2013,,52,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2014,,60,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2015,,49,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2016,,67,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2017,,57,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2018,,49,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2019,,54,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2020,,59,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2021,,59,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,EL,Greece,2022,,60,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,ES,Spain,2008,,150,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,ES,Spain,2009,,172,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,ES,Spain,2010,,195,,,,,
